"sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"Healthcare","31.712185","0.0232","1176162","1470883","9.08","","Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS (ALXN1210/ravulizumab-cwvz), a C5 inhibitor for the treatment of paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS); and SOLIRIS (eculizumab), a monoclonal antibody for the treatment of PNH, aHUS, generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). It also provides Strensiq (asfotase alfa), a targeted enzyme replacement therapy for patients with hypophosphatasia; and Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency. In addition, the company is developing ALXN1210 (Intravenous) that is in Phase III clinical trials for the treatment of gMG and NMOSD; ALXN1210 (Subcutaneous), which is in Phase III clinical trials for PNH and aHUS; ALXN1810 (Subcutaneous) that is in Phase I clinical trial for renal diseases; and ALXN1720 (Subcutaneous), which is in Phase I clinical trial for the treatment of disease states involving dysregulated terminal complement activity. Further, it is developing ALXN1840 (WTX101) that is in Phase III clinical trials for the treatment of Wilson disease; and ALXN1830 and ABY-039, which are in Phase I clinical trials for neonatal Fc receptor. The company serves distributors, pharmacies, hospitals, hospital buying groups, and other healthcare providers in the United States and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc.; collaborations with Caelum Biosciences, Inc., Dicerna Pharmaceuticals, Inc. and Zealand Pharma A/S; strategic agreement with Caelum Biosciences, Inc.; agreement with Stealth BioTherapeutics Corp.; and a partnership with Affibody AB. The company was founded in 1992 and is headquartered in Boston, Massachusetts.","https://logo.clearbit.com/alexion.com","0.15281","4.7802577","","United States","Biotechnology","26467330048","47.881","3.808","","2.522086","1.348593"
"Technology","17.299417","0.0146","6715421","5831233","12.62","0.473","Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation and nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for flexible substrates. The company serves manufacturers of semiconductor wafers and chips, liquid crystal and organic light-emitting diode displays, and other electronic devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California.","https://logo.clearbit.com/appliedmaterials.com","0.19584","3.340882","0.2471","United States","Semiconductor Equipment & Materials","54349471744","10.478","3.44","0.88","5.679519","1.289023"
"Technology","159.98055","0.0227","69423675","44199300","83.329","3.486","Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen processors with Radeon Vega GPUs, AMD A-Series, AMD Athlon, AMD Ryzen PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct accelerators for servers. In addition, the company provides embedded processor solutions for interactive digital signage, casino gaming, and medical imaging under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment and design manufacturers, datacenters, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was founded in 1969 and is headquartered in Santa Clara, California.","https://logo.clearbit.com/amd.com","0.07965","12.626596","","United States","Semiconductors","96542957568","2.815","0.514","","29.211369","2.290678"
"Industrials","27.22798","0.0078","844589","885900","19.761","-0.229","AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates through two segments, Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; and instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets. This segment also provides power quality monitoring and metering, uninterruptible power supplies, programmable power equipment, electromagnetic compatibility test equipment, sensors for gas turbines, dashboard instruments for heavy trucks and other vehicles, and instrumentation and controls for the food and beverage industries; and aircraft and engine sensors, monitoring systems, power supplies, fuel and fluid measurement systems, and data acquisition units for the aerospace industry. Its EMG segment offers engineered electrical connectors and electronics packaging for protecting sensitive electronic devices; precision motion control products for data storage, medical devices, business equipment, automation and other applications; high-purity powdered metals, strip and foil, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for use in thermal management, military, commercial aircraft, and military ground vehicles; and motors for use in commercial appliances, fitness equipment, food and beverage machines, hydraulic pumps, and industrial blowers. This segment also operates a network of aviation maintenance, repair, and overhaul facilities. In addition, the company offers clinical and education communication solutions for hospitals, health systems, and educational facilities. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania.","https://logo.clearbit.com/ametek.com","0.18524","5.0325594","0.1658","United States","Specialty Industrial Machinery","24134113280","23.892","3.86","0.72","4.398962","1.278543"
"Financial Services","34.548244","0.0354","524976","493133","7.35","-0.174","Affiliated Managers Group, Inc., through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It provides advisory or subadvisory services to mutual funds. These funds are distributed to retail and institutional clients directly and through intermediaries, including independent investment advisors, retirement plan sponsors, broker-dealers, major fund marketplaces, and bank trust departments. The company also offers investment products in various investment styles in the institutional distribution channel, including small, small/mid, mid, and large capitalization value and growth equity, and emerging markets. In addition, it offers quantitative, alternative, and fixed income products, and manages assets for foundations and endowments, defined benefit, and defined contribution plans for corporations and municipalities. Affiliated Managers Group provides investment management or customized investment counseling and fiduciary services. The company was formed as a corporation under the laws of Delaware in 1993. Affiliated Managers Group is based in Prides Crossing, Massachusetts.","https://logo.clearbit.com/amg.com","0.053629998","1.8074663","0.3975","United States","Asset Management","3666987520","61.531","2.28","0.04","1.2801677","1.437396"
"Financial Services","8.605351","0.0229","496599","530566","4.292","","Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through five segments: Advice & Wealth Management, Asset Management, Annuities, Protection, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice, as well as full-service brokerage services primarily to retail clients through its advisors. The Asset Management segment offers investment management, advice, and investment products to retail, high net worth, and institutional clients through unaffiliated third party financial institutions and institutional sales force. Its products also include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property funds. The Annuities segment provides variable and fixed annuity products to individual clients through affiliated and unaffiliated advisors, and financial institutions. The Protection segment offers variable and fixed annuity products to address the protection and risk management needs of retail clients, including life and disability income insurance. The Corporate & Other segment consist of long term care business, net investment income or loss on corporate level assets. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota.","https://logo.clearbit.com/ameriprise.com","0.20497999","1.6311315","0.20459999","United States","Asset Management","19917748224","53.894","19.245","4.16","3.0728838","1.753447"
"Consumer Cyclical","123.256516","0.005","5901151","4642700","41.096","0.997","Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its Websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, and other AWS services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company also operates in the food delivery business in Bengaluru, India. It serves consumers, sellers, developers, enterprises, and content creators. The company also has utility-scale solar projects in China, Australia, and the United States. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.","https://logo.clearbit.com/amazon.com","0.040960003","4.9955287","","United States","Internet Retail","1607471202304","147.162","26.037","","21.807463","1.353006"
"Financial Services","27.024462","0.077","1382369","1006616","17.255","0.437","Aon plc, a professional services firm, provides advice and solutions to clients focused on risk, retirement, and health worldwide. It offers commercial risk solutions, including retail brokerage, cyber, and global risk consulting solutions, as well as acts as a captive insurance solutions provider; and health solutions, such as health and benefits brokerages, and health care exchanges. The company also provides treaty and facultative reinsurance, as well as mergers and acquisition, capital raising, strategic advisory, restructuring, and recapitalization services; insurance-linked securities; and corporate finance advisory services, capital markets solutions, and risk management products. In addition, it offers strategic design consulting services on their retirement programs, actuarial services, and risk management for organizations; advice services on developing and maintaining investment programs across a range of plan types, including defined benefit plans, defined contribution plans, endowments, and foundations for public and private companies, and other institutions; and advice and solutions that help clients in accelerating business outcomes by enhancing the performance of their people, including assessment and optimized deployment, as well as the design, alignment, and benchmarking of compensation to business strategy and performance outcomes. Further, the company develops, markets, and administers customized insurance programs and specialty market solutions for organizations, and their members or affiliates; operates the Global Risk Insight Platform, which provides data, analytics, engagement, and consulting services; and offers ReView that provides advisory, analysis, and benchmarking services to help reinsurers. Aon plc was founded in 1919 and is based in London, the United Kingdom.","https://logo.clearbit.com/aon.com","0.16083999","4.2652717","0.234","United Kingdom","Insurance Brokers","46832680960","15.555","7.481","1.84","12.997107","0.771649"
"Industrials","29.59934","0.0292","786988","968883","18.469","-0.336","A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products in North America, China, Europe, and India. It operates through two segments, North America and Rest of World. The company offers water heaters for residences, restaurants, hotels and motels, office buildings, laundries, car washes, and small businesses; residential and commercial boilers for space heating applications in hospitals, schools, hotels, and other commercial buildings; and water treatment products, including on-the-go filtration bottles, point-of-use carbon and reverse osmosis products, point-of-entry water softeners, and whole-home water filtration products for residences, restaurants, hotels, and offices. It also provides food and beverage filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and heat pumps, combi-boilers, solar tank units, and air purification products. The company offers its products primarily under the A. O. Smith, State, Lochinvar, and water softener brands. It distributes its products through independent wholesale plumbing distributors, as well as through retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce, as well as other online retailers. The company was founded in 1874 and is headquartered in Milwaukee, Wisconsin.","https://logo.clearbit.com/aosmith.com","0.10722999","3.1314087","0.5165","United States","Specialty Industrial Machinery","8705002496","10.272","1.822","1.04","5.2501945","1.154991"
"Basic Materials","33.477497","0.0056","630475","590966","19.17","-0.085","Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and services worldwide. The company produces atmospheric gases, including oxygen, nitrogen, argon, and rare gases; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, syngas, and specialty gases; and equipment for the production or processing of gases comprising air separation units and non-cryogenic generators for customers in various industries, including refining, chemical, gasification, metals, electronics, manufacturing, food and beverage, magnetic resonance imaging, energy production and refining, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. Air Products and Chemicals, Inc. was founded in 1940 and is headquartered in Allentown, Pennsylvania.","https://logo.clearbit.com/airproducts.com","0.21577999","7.1732817","0.58","United States","Chemicals","63264038912","52.782","8.555","5.36","5.426092","0.883066"
"Technology","30.725594","0.0063","1084773","1566016","19.929","0.237","Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates in two segments, Interconnect Products and Assemblies, and Cable Products and Solutions. The Interconnect Products and Assemblies segment offers connector and connector systems, including fiber optic, harsh environment, high-speed, and radio frequency interconnect products, as well as antennas; power interconnect products, busbars, and distribution systems; and other connectors. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising antennas, flexible and rigid printed circuit boards, hinges, molded parts, production-related products, sensors and sensor-based products, and switches. The Cable Products and Solutions segment offers coaxial, power, and specialty cables; cable assemblies; and components, which include combiner/splitter products, connector and connector systems, and fiber optic components. The company sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, broadband communication, commercial aerospace, industrial, information technology and data communication, military, mobile device, and mobile network markets. Amphenol Corporation was founded in 1932 and is headquartered in Wallingford, Connecticut.","https://logo.clearbit.com/amphenol.com","0.13997","4.1851296","0.26389998","United States","Electronic Components","34836598784","16.891","3.79","1.16","6.8942037","1.250413"
