"ticker","sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"EXPE","Consumer Cyclical","","0.106800005","1733189","2408212","354.476","","Expedia Group, Inc. operates as an online travel company worldwide. It operates through four segments: Core Online Travel Agencies, Trivago, Vrbo, and Egencia. Its brand portfolio include Brand Expedia, a full-service online travel brand with localized websites; Hotels.com for marketing and distributing lodging accommodations; Vrbo, an online marketplace for the alternative accommodations; Expedia Partner Solutions, a business-to-business brand that provides travel offerings for various airlines and hotels, online and offline travel agencies, loyalty and corporate travel companies, and various consumer brands; and Egencia, which provides corporate travel management services. The company's brand portfolio also comprise Orbitz, Travelocity, and CheapTickets travel Websites; ebookers, a full-service travel brand; Hotwire, an online travel Website; Expedia Group Media Solutions that provides media partnerships and digital marketing solutions; trivago, an online hotel metasearch platform; and Expedia Local Expert, a provider of online and in-market concierge services, activities, experiences, and ground transportation. In addition, its brand portfolio consists of CarRentals.com, an online car rental booking service; Classic Vacations, a luxury travel specialist; Expedia CruiseShipCenters, a provider of advice for travelers booking cruises and vacations; and SilverRail, a provider of a rail retail and distribution platform connecting rail carriers and suppliers to online and offline travel distributors. Further, the company provides online travel services through its Wotif.com, lastminute.com.au, travel.com.au, Wotif.co.nz, and lastminute.co.nz brands; loyalty programs; and advertising and media services. It serves leisure and corporate travelers. The company was formerly known as Expedia, Inc. and changed its name to Expedia Group, Inc. in March 2018. Expedia Group, Inc. was founded in 1996 and is headquartered in Seattle, Washington.","https://logo.clearbit.com/expediagroup.com","-0.17093","1.4810171","","United States","Travel Services","13447635968","12.279","-10.939","","7.754703","1.660783"
"AMGN","Healthcare","17.567547","0.0115","2994097","2386850","11.886","0.027","Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta, a pegylated protein to treat cancer patients; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; Sensipar/Mimpara to treat secondary hyperparathyroidism; and EPOGEN to treat anemia caused by chronic kidney disease. It also markets other products in various markets, including Nplate, Vectibix, Repatha, Parsabiv, BLINCYTO, Aimovig, NEUPOGEN, Otezla, AMGEVITA, KANJINTI, EVENITY, IMLYGIC, MVASI, and Corlanor. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with Novartis; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; QIAGEN N.V.; Adaptive Biotechnologies; and Eli Lilly and Company. Amgen Inc. was founded in 1980 and is headquartered in Thousand Oaks, California.","https://logo.clearbit.com/amgen.com","0.29423","5.0909224","0.5036","United States","Drug Manufacturers—General","127206883328","18.765","12.399","6.4","11.607781","0.815223"
"USB","Financial Services","12.597617","0.0084","6469544","6377600","","-0.172","U.S. Bancorp, a financial services holding company, provides various financial services in the United States. It operates in five segments: Corporate and Commercial Banking, Consumer and Business Banking, Wealth Management and Investment Services, Payment Services, and Treasury and Corporate Support. The company offers depository services, including checking accounts, savings accounts, and time certificate contracts; lending services, such as traditional credit products; and credit card services, lease financing and import/export trade, asset-backed lending, agricultural finance, and other products, as well as home equity, auto, boat, RV, personal loans, and personal line of credit. It also provides ancillary services comprising capital markets, treasury management, and receivable lock-box collection services to corporate customers; and a range of asset management and fiduciary services for individuals, estates, foundations, business corporations, and charitable organizations. In addition, the company offers investment and insurance products to its customers principally within its markets, as well as fund administration services to a range of mutual and other funds. Further, it provides corporate and purchasing card, and corporate trust services; and merchant processing services, as well as cash and investment management, ATM processing, mortgage banking, and brokerage and leasing services. The company offers its products and services through operating a network of 2,795 banking offices principally operating in the Midwest and West regions of the United States, as well as through online services and over mobile devices. It also operates a network of 4,459 ATMs. The company has a strategic alliance with State Farm Bank. The company was founded in 1863 and is headquartered in Minneapolis, Minnesota.","https://logo.clearbit.com/usbank.com","0.2573","2.99541","0.5563","United States","Banks—Regional","57347125248","30.93","3.022","1.68","1.2308438","1.102592"
"LKQ","Consumer Cyclical","16.179775","0.0215","3233285","2271962","10.646","0.271","LKQ Corporation, together with its subsidiaries, distributes replacement parts, components, and systems used in the repair and maintenance of vehicles. It operates in three segments: North America, Europe, and Specialty. The company distributes bumper covers, automotive body panels, and lights, as well as automotive glass products, such as windshields; salvage products, including mechanical and collision parts comprising engines; transmissions; door assemblies; sheet metal products, such as trunk lids, fenders, and hoods; lights and bumper assemblies; scrap metal and other materials to metals recyclers; and brake pads, discs and sensors, clutches, steering and suspension products, filters, and oil and automotive fluids, as well as electrical products, including spark plugs and batteries. It also operates self-service retail operations under the LKQ Pick Your Part name; and designs, manufactures, and markets vehicle equipment and accessories. In addition, the company distributes recreational vehicle appliances and air conditioners, towing hitches, truck bed covers, vehicle protection products, cargo management products, wheels, tires, and suspension products. It serves collision and mechanical repair shops, and new and used car dealerships, as well as retail customers. The company operates in the United States, Canada, the United Kingdom, Germany, Belgium, the Netherlands, Luxembourg, Italy, the Czech Republic, Poland, Slovakia, Austria, Taiwan, and various other European countries. LKQ Corporation was founded in 1998 and is headquartered in Chicago, Illinois.","https://logo.clearbit.com/lkqcorp.com","0.05116","0.8250035","0","United States","Auto Parts","9640002560","17.705","1.958","","1.7893251","1.745173"
"STT","Financial Services","9.370518","0.013300001","2266400","1785437","","-0.048","State Street Corporation, through its subsidiaries, provides a range of financial products and services to institutional investors worldwide. It offers investment servicing products and services, including custody; product and participant level accounting; daily pricing and administration; master trust and master custody; depotbank services; record-keeping; cash management; foreign exchange, brokerage, and other trading services; securities finance; deposit and short-term investment facilities; loans and lease financing; investment manager and alternative investment manager operations outsourcing; performance, risk, and compliance analytics; and financial data management to support institutional investors. The company also engages in the investment servicing line of business, such as portfolio modeling and construction; trade order management; investment risk and compliance; and wealth management solutions. In addition, it provides investment management strategies and products, such as core and enhanced indexing, multi-asset strategies, active quantitative and fundamental active capabilities, and alternative investment strategies. Further, the company offers services and solutions, including environmental, social, and governance investing; defined benefit and defined contribution; and outsourced chief investment officer, as well as exchange-traded fund under the SPDR ETF brand. The company provides its products and services to mutual funds, collective investment funds and other investment pools, corporate and public retirement plans, insurance companies, foundations, endowments, and investment managers. State Street Corporation was founded in 1792 and is headquartered in Boston, Massachusetts.","https://logo.clearbit.com/statestreet.com","0.20916","1.7731878","0.3312","United States","Asset Management","20744523776","65.44","6.275","2.08","0.898533","1.548814"
"PKI","Healthcare","34.9119","0.024300002","1533964","888350","18.824","2.018","PerkinElmer, Inc. provides products, services, and solutions to the diagnostics, life sciences, and applied services markets worldwide. The company operates in two segments, Discovery & Analytical Solutions and Diagnostics. The Discovery & Analytical Solutions segment offers a suite of solutions, including reagents, informatics, and detection and imaging technologies that enable scientists to enhance research breakthroughs in the life sciences research market, as well as laboratory services. It also provides analytical technologies, solutions, and services for the environmental, food, and industrial markets that enable its customers to understand the characterization and health of various aspects, including air, water, and soil. In addition, this segment offers solutions to farmers and food producers; and analytical instrumentation for the industrial market, which includes the chemical, semiconductor and electronics, energy, lubricant, petrochemical, and polymer industries. The Diagnostics segment provides instruments, reagents, and software products for the early detection of genetic disorders, such as pregnancy and early childhood, as well as infectious disease testing in the diagnostics market. Its products are used for testing and screening genetic abnormalities, disorders, and diseases, including down syndrome, hypothyroidism, muscular dystrophym, infertility, and various metabolic conditions. This segment also develops technologies that enable and support genomic workflows using protein coupled receptor and next-generation DNA sequencing for applications in oncology and drug discovery. The company serves pharmaceutical and biotechnology companies, laboratories, academic and research institutions, public health authorities, private healthcare organizations, doctors, and government agencies. PerkinElmer, Inc. was founded in 1937 and is headquartered in Waltham, Massachusetts.","https://logo.clearbit.com/perkinelmer.com","0.12742","4.453395","0.0759","United States","Diagnostics & Research","14400653312","28.779","3.689","0.28","4.475138","1.300606"
"MCO","Financial Services","27.381573","0.0104","1216247","764637","19.877","0.231","Moody's Corporation provides credit ratings and assessment services; and credit, capital markets, and economic research, data, and analytical tools worldwide. It operates through two segments, Moody's Investors Service and Moody's Analytics. The Moody's Investors Service segment publishes credit ratings and provides assessment services on various debt obligations and entities that issue such obligations, such as various corporate and governmental obligations, structured finance securities, and commercial paper programs. This segment provides ratings in approximately 130 countries. Its ratings are disseminated through press releases to the public through print and electronic media, including the Internet and real-time information systems used by securities traders and investors. As of December 31, 2019, this segment had ratings relationships with approximately 4,900 non-financial corporate issuers; 4,100 financial institutions issuers; 17,200 public finance issuers; and 1,000 infrastructure and project finance issuers, as well as 9,500 structured finance transactions. The Moody's Analytics segment develops a range of products and services that support financial analysis and risk management activities of institutional participants in financial markets; and offers subscription based research, data, and analytical products comprising credit ratings, credit research, quantitative credit scores and other analytical tools, economic research and forecasts, business intelligence and company information products, and commercial real estate data and analytical tools. It also offers software solutions, as well as related risk management services; and offshore analytical and research services with learning solutions and certification programs. The company was formerly known as Dun and Bradstreet Company and changed its name to Moody's Corporation in September 2000. Moody's Corporation was founded in 1900 and is headquartered in New York, New York.","https://logo.clearbit.com/moodys.com","0.34324002","9.289631","0.2322","United States","Financial Data & Stock Exchanges","49365098496","8.988","9.605","2.24","29.261238","1.122448"
"FLS","Industrials","25.620504","0.0378","1390518","1124387","10.336","-0.851","Flowserve Corporation designs, develops, manufactures, distributes, and services industrial flow management equipment in the United States, Europe, the Middle East, Africa, Asia, and internationally. The company operates through two segments: Flowserve Pump Division (FPD) and Flow Control Division (FCD). The FPD segment offers custom and pre-configured pumps and pump systems, mechanical seals, auxiliary systems, replacement parts, upgrades, and related aftermarket services, including product installation and commissioning services, seal systems spare parts, repairs, re-rate and upgrade solutions, and machining and asset management solutions, as well as manufactures a gas-lubricated mechanical seal for use in high-speed compressors for gas pipelines. The FCD segment offers industrial valve and automation solutions, including isolation and control valves, actuation, controls, and related equipment, as well as provides equipment maintenance services for flow control systems, including advanced diagnostics, retrofit programs, and field machining capabilities. This segment's products are used to control, direct, and manage the flow of liquids and gases. It primarily serves oil and gas, chemical and pharmaceuticals, power generation, and water management markets, as well as general industries, including mining and ore processing, pulp and paper, food and beverage, and other smaller applications. The company distributes its products through direct sales, distributors, and sales representatives. Flowserve Corporation was incorporated in 1912 and is headquartered in Irving, Texas.","https://logo.clearbit.com/flowserve.com","0.03766","0.9547187","0.70269996","United States","Specialty Industrial Machinery","3708258304","12.797","1.112","0.8","2.226303","1.805846"
"MLM","Basic Materials","26.479156","0.038399998","1060063","486562","15.253","0.148","Martin Marietta Materials, Inc., a natural resource-based building materials company, supplies aggregates and heavy building materials to the construction industry in the United States and internationally. It offers crushed stone, sand, and gravel products; ready mixed concrete and asphalt; paving products and services; Portland and specialty cement used in the infrastructure projects, and nonresidential and residential construction markets, as well as in the railroad, agricultural, utility, and environmental industries. The company also manufactures and markets magnesia-based chemical products for the industrial, agricultural, and environmental applications; and dolomitic lime primarily for customers in the steel and mining industries, as well as provides road paving construction services. Its chemical products are used in flame retardants, wastewater treatment, pulp and paper production, and other environmental applications. The company was founded in 1993 and is headquartered in Raleigh, North Carolina.","https://logo.clearbit.com/martinmarietta.com","0.1407","3.706549","0.2211","United States","Building Materials","16414082048","88.14","9.955","2.28","2.9906967","0.801985"
"SBAC","Real Estate","","0.0097","577990","543675","33.676","-0.286","SBA Communications Corporation is a first choice provider and leading owner and operator of wireless communications infrastructure in North, Central, and South America and South Africa. By ÂBuilding Better Wireless,Â SBA generates revenue from two primary businesses Â site leasing and site development services. The primary focus of the Company is the leasing of antenna space on its multi-tenant communication sites to a variety of wireless service providers under long-term lease contracts.","https://logo.clearbit.com/sbasite.com","-0.0074400003","16.14485","","United States","REIT—Specialty","33024241664","-38.466","-0.139","1.86","","0.313292"
"EBAY","Consumer Cyclical","6.8349514","0.036","22288810","8413962","11.145","1.142","eBay Inc. operates the marketplace and classifieds platforms that connect buyers and sellers worldwide. Its Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps; and Classifieds platform comprises a collection of brands, such as Mobile.de, Kijiji, Gumtree, Marktplaats, eBay Kleinanzeigen, and others that offer online classifieds to help people find what they are looking for in their local communities. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. The company was founded in 1995 and is headquartered in San Jose, California.","https://logo.clearbit.com/ebayinc.com","0.45564997","2.92215","0.219","United States","Internet Retail","34490134528","4.195","7.21","0.64","11.747317",""
"IT","Technology","44.650814","0.0137","257095","324725","20.79","-0.467","Gartner, Inc. operates as a research and advisory company. It operates through three segments: Research, Conferences, and Consulting. The Research segment offers objective insights and advice on the priorities of various leaders in a range of functional areas of the enterprise through reports, briefings, proprietary tools, access to research expert, peer networking services, and membership programs that enable clients to drive organizational performance; and research and analysis in various business functions, such as human resources, sales, legal, and finance. This segment delivers its research, primarily through a subscription service. The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network various events. The Consulting segment offers market research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, technology modernization, and IT sourcing optimization. The company has operations in the United States, Canada, Europe, the Middle East, Africa, and internationally. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.","https://logo.clearbit.com/gartner.com","0.05702","2.515343","0","United States","Information Technology Services","10554431488","11.093","2.649","","10.66258","1.448979"
"HCA","Healthcare","12.679474","0.0139999995","1307718","1340612","7.44","0.092","HCA Healthcare, Inc., through its subsidiaries, operates as a health care services company in the United States. The company operates general, acute care hospitals that offer medical and surgical services, including inpatient care, intensive care, cardiac care, diagnostic, and emergency services; and outpatient services, such as outpatient surgery, laboratory, radiology, respiratory therapy, cardiology, and physical therapy services. It also operates psychiatric hospitals, which provide therapeutic programs comprising child, adolescent and adult psychiatric care, and adolescent and adult alcohol and drug abuse treatment and counseling. In addition, the company operates outpatient health care facilities consisting of freestanding ambulatory surgery centers, freestanding emergency care facilities, urgent care facilities, walk-in clinics, diagnostic and imaging centers, rehabilitation and physical therapy centers, radiation and oncology therapy centers, physician practices, and various other facilities. As of December 31, 2019, it operated 184 hospitals and 123 freestanding surgery centers located in 21 states and England. HCA Healthcare Inc. has collaboration with Truli to give small and medium-size employers a new option for funding health care coverage in Florida markets. The company was formerly known as HCA Holdings, Inc. HCA Healthcare, Inc. was founded in 1968 and is headquartered in Nashville, Tennessee.","https://logo.clearbit.com/hcahealthcare.com","0.06696","0.8350439","0.084","United States","Medical Care Facilities","42389336064","-2.837","9.89","","","1.39658"
